,Gender,Year of Study,Monthly Expense,Living District,Transportation,Num_transfer,Time,Comfortability,Price,Walking Distance,Acceptable price,MTR,Bus,Shuttle Bus,Taxi,Tram
2,1,4,2,4,1,1,1,2,3,4,10,1,3,2,4,5
3,2,4,2,3,1,2,1,3,4,2,20,2,1,3,4,5
4,1,5,1,4,6,1,1,3,4,2,3,1,3,4,5,2
5,2,4,2,2,1,2,1,4,2,3,10,1,2,3,4,5
6,2,5,2,1,1,2,1,3,2,4,7,1,2,3,4,5
7,1,4,2,1,1,3,1,2,3,4,25,1,3,2,4,5
8,2,4,2,1,1,1,1,4,2,3,4.5,1,2,3,5,4
9,1,4,2,2,2,1,1,2,3,4,20,3,2,1,4,5
10,1,4,2,3,1,2,1,3,2,4,20,1,2,3,4,5
11,1,4,2,1,1,2,1,2,3,4,15,1,2,3,4,5
12,1,4,4,3,4,1,1,2,3,4,15,4,3,2,1,5
13,2,4,1,3,1,3,1,4,3,2,10,1,3,2,5,4
14,2,4,1,2,1,3,1,2,3,4,20,1,3,2,4,5
15,1,4,1,4,1,1,1,4,3,2,10,1,2,3,4,5
16,1,4,2,2,1,3,1,3,2,4,20,1,3,2,5,4
17,1,4,6,3,1,2,1,5,2,4,7,1,3,2,5,4
18,2,5,2,2,1,2,1,3,2,4,15,1,3,2,4,5
19,1,4,1,2,1,4,1,2,4,3,35,2,3,1,4,5
20,1,4,1,4,1,1,2,3,1,4,10,2,3,1,4,5
21,1,4,2,4,2,1,1,2,5,3,10,1,2,5,4,3
22,1,3,2,4,1,1,1,2,3,4,2,1,3,2,4,5
23,2,3,2,2,1,2,1,2,4,3,12,3,2,1,5,4
24,2,2,1,3,1,1,1,4,2,3,5,1,2,3,5,4
25,1,5,1,3,1,1,1,3,2,4,15,1,3,4,2,5
26,2,5,2,1,1,2,1,2,3,4,10,2,3,1,4,5
27,3,3,2,4,1,1,1,4,3,2,8,2,3,1,5,4
28,1,3,1,1,1,2,1,4,3,2,10,1,3,2,5,4
29,1,3,1,2,2,2,2,1,4,3,10,3,1,2,5,4
31,2,4,1,3,1,2,1,4,3,2,10,2,3,1,5,4
33,1,5,3,4,1,1,2,4,1,3,10,1,4,3,2,5
34,4,1,1,3,1,2,1,2,3,4,8,1,4,3,5,2
35,2,3,3,1,1,3,1,2,4,3,20,2,3,1,4,5
37,1,4,2,3,1,2,1,4,2,3,10,1,2,3,5,4
38,2,4,2,1,1,1,1,2,4,3,8,2,3,1,4,5
42,2,3,1,3,1,3,1,3,4,2,10,1,2,3,5,4
49,2,3,1,3,1,3,4,2,3,1,12,3,2,1,4,5
50,1,5,6,4,4,1,1,2,3,4,1.9,2,3,4,1,5
51,2,1,2,1,1,1,1,2,5,3,5,1,3,4,2,5
52,2,3,1,1,1,3,1,2,4,3,10,1,2,3,4,5
54,2,3,1,2,1,3,1,2,3,4,30,2,3,1,5,4
55,1,5,6,3,1,5,2,4,1,3,5,1,2,3,5,4
56,2,4,2,2,1,4,2,1,3,4,50,3,2,1,5,4
57,2,4,1,3,1,2,1,4,3,2,8,2,3,1,5,4
58,1,4,3,3,1,2,1,2,4,3,15,2,3,1,4,5
59,1,4,2,1,1,2,2,3,1,4,13,1,2,3,5,4
60,2,4,1,3,1,1,1,2,4,3,7,1,2,4,3,5
61,2,2,1,4,1,1,1,2,4,3,16,1,2,3,4,5
62,2,4,4,3,2,1,3,2,4,1,3,2,1,4,3,5
63,1,3,2,4,2,1,2,1,4,3,8,2,1,3,4,5
64,1,4,2,3,1,3,1,4,3,2,10,3,2,1,4,5
65,1,3,2,3,1,2,3,2,4,1,10,1,2,3,4,5
66,2,4,1,1,1,2,2,3,1,4,15,1,2,4,5,3
67,2,4,2,1,2,3,3,1,4,2,20,2,1,3,4,5
68,2,4,1,2,1,5,1,2,4,3,20,1,3,4,2,5
69,2,4,3,4,2,1,1,4,5,2,8,3,1,5,2,4
70,2,4,1,3,1,2,1,4,3,2,10,1,3,2,4,5
